Nome da pessoa;Idade da pessoa;Documento CPF;Data de Nascimento;Sexo da pessoa;Signo da Pessoa;Nome da Mãe;Telefone Fixo;Telefone Celular;Altura da Pessoa;Peso da Pessoa;Tipo Sanguíneo da Pessoa
Marli Juliana Nascimento;67;147.676.158-28;02/05/1954;Feminino;Touro;Emanuelly Manuela Raquel;(11) 3539-8798;(11) 98614-5862;1,82;80;AB+
Gabriela Alana Mariah Drumond;78;909.394.958-64;13/07/1943;Feminino;Câncer;Mariana Stella Jennifer;(19) 3636-6638;(19) 98907-6817;1,63;81;B+
Cauã Renato Silveira;19;796.865.138-76;18/06/2002;Masculino;Gêmeos;Jennifer Alice;(11) 2983-0013;(11) 99420-4446;1,71;73;B-
Benedito Sérgio Sebastião Cardoso;40;748.225.288-63;16/09/1981;Masculino;Virgem;Carolina Esther Betina;(12) 2981-9852;(12) 99813-1889;1,94;68;AB-
Flávia Isadora Lívia Moreira;20;568.818.498-18;27/01/2001;Feminino;Aquário;Bruna Carla;(19) 3728-7301;(19) 98547-3096;1,58;71;AB-
Sabrina Luciana Ester Oliveira;64;136.285.668-19;06/07/1957;Feminino;Câncer;Mariana Sandra;(12) 2777-5759;(12) 98952-4727;1,5;54;O+
Tereza Gabrielly da Cunha;40;180.934.568-56;27/12/1981;Feminino;Capricórnio;Lúcia Caroline Carla;(11) 2956-8411;(11) 98849-1334;1,71;59;AB+
Maya Mariah Eliane Fernandes;20;150.357.438-53;10/02/2001;Feminino;Aquário;Marina Heloise Rayssa;(11) 3623-7424;(11) 98600-1361;1,6;55;B-
Isabella Aparecida Liz Vieira;76;211.525.068-03;05/05/1945;Feminino;Touro;Sandra Marlene;(11) 2566-6166;(11) 99349-7284;1,58;64;A+
Larissa Raimunda Fabiana Alves;40;947.740.528-09;14/12/1981;Feminino;Sagitário;Emilly Nair Malu;(19) 3601-8518;(19) 99817-5321;1,56;78;AB-
Manoel Yuri Oliveira;33;053.538.168-97;11/09/1988;Masculino;Virgem;Beatriz Aparecida;(19) 3633-5074;(19) 99900-9773;1,91;93;AB+
Helena Alícia Baptista;76;096.036.838-84;25/04/1945;Feminino;Touro;Nina Betina Raquel;(11) 2799-9461;(11) 98693-7708;1,6;52;A-
Maya Teresinha Moreira;43;782.385.558-50;02/06/1978;Feminino;Gêmeos;Eloá Sabrina Cecília;(17) 3964-4453;(17) 98701-1300;1,8;56;O-
Hadassa Melissa de Paula;48;226.359.058-78;02/07/1973;Feminino;Câncer;Aurora Isabella Andrea;(16) 3937-7344;(16) 99606-4338;1,57;59;A+
Osvaldo Cauê Baptista;52;160.299.808-66;08/10/1969;Masculino;Libra;Tânia Sabrina;(12) 2995-9621;(12) 98114-4448;2;69;O-
Kamilly Alana da Cunha;20;733.022.468-54;09/06/2001;Feminino;Gêmeos;Malu Sueli Carla;(11) 3934-0107;(11) 98174-0114;1,85;67;AB+
Juliana Fabiana Benedita Figueiredo;61;264.553.378-75;04/09/1960;Feminino;Virgem;Carolina Esther;(11) 3711-6092;(11) 98745-4140;1,84;72;B+
Fátima Yasmin Campos;31;364.415.348-51;06/07/1990;Feminino;Câncer;Valentina Vanessa Renata;(11) 3719-3251;(11) 99747-4477;1,55;49;B+
Luzia Kamilly Elza Duarte;21;388.675.398-09;27/02/2000;Feminino;Peixes;Sandra Nina;(12) 2656-4193;(12) 99187-2337;1,53;79;O-
Roberto Luan Sérgio Nunes;22;873.107.718-85;22/09/1999;Masculino;Virgem;Sarah Marlene;(19) 2924-3040;(19) 99161-6666;1,68;84;O+
